;0;tier;1;2;3;4;genre
3;RandBandSoul;1;RandBandSoul;RandBandSoul;RandBandSoul;RandBandSoul;contemporary r&b
4;RandBandSoul;1;RandBandSoul;RandBandSoul;RandBandSoul;RandBandSoul;disco
5;RandBandSoul;1;funk;funk;funk;funk;funk
6;RandBandSoul;2;funk;funk;funk;funk;deep funk
7;RandBandSoul;1;RandBandSoul;RandBandSoul;RandBandSoul;RandBandSoul;freestyle music
8;RandBandSoul;1;RandBandSoul;RandBandSoul;RandBandSoul;RandBandSoul;go-go
9;RandBandSoul;1;hip hop soul;hip hop soul;hip hop soul;hip hop soul;hip hop soul
10;RandBandSoul;2;hip hop soul;hip hop soul;hip hop soul;hip hop soul;p-funk
11;RandBandSoul;2;hip hop soul;hip hop soul;hip hop soul;hip hop soul;post-disco
12;RandBandSoul;2;hip hop soul;hip hop soul;hip hop soul;hip hop soul;boogie
13;RandBandSoul;1;RandBandSoul;RandBandSoul;RandBandSoul;RandBandSoul;new jack swing
14;RandBandSoul;1;RandBandSoul;RandBandSoul;RandBandSoul;RandBandSoul;rhythm and blues
15;RandBandSoul;1;soul;soul;soul;soul;soul
16;RandBandSoul;2;soul;soul;soul;soul;blue-eyed soul
17;RandBandSoul;2;soul;soul;soul;soul;hip hop soul
18;RandBandSoul;2;soul;soul;soul;soul;northern soul
19;RandBandSoul;2;soul;soul;soul;soul;neo soul
20;RandBandSoul;2;soul;soul;soul;soul;southern soul
