;0;tier;1;2;3;4;genre
0;african;1;african;african;african;african;african heavy metal
1;african;1;african;african;african;african;african hip hop
2;african;1;african;african;african;african;afrobeat
3;african;1;african;african;african;african;apala
4;african;1;african;african;african;african;benga
5;african;1;african;african;african;african;bongo flava
6;african;1;african;african;african;african;bikutsi
7;african;1;african;african;african;african;cape jazz
8;african;1;african;african;african;african;chimurenga
9;african;1;african;african;african;african;congolese rumba
10;african;1;african;african;african;african;coupé-décalé
11;african;1;african;african;african;african;fuji music
12;african;1;african;african;african;african;genge
13;african;1;african;african;african;african;highlife
14;african;1;african;african;african;african;hiplife
15;african;1;african;african;african;african;igbo highlife
16;african;1;african;african;african;african;igbo rap
17;african;1;african;african;african;african;isicathamiya
18;african;1;african;african;african;african;jit
19;african;1;african;african;african;african;jùjú
20;african;1;african;african;african;african;kapuka
21;african;1;african;african;african;african;boomba
22;african;1;african;african;african;african;kadongo kamu
23;african;1;african;african;african;african;kizomba
24;african;1;african;african;african;african;kuduro
25;african;1;african;african;african;african;kwaito
26;african;1;african;african;african;african;kwela
27;african;1;african;african;african;african;makossa
28;african;1;african;african;african;african;maloya
29;african;1;african;african;african;african;marrabenta
30;african;1;african;african;african;african;mbalax
31;african;1;african;african;african;african;mbaqanga
32;african;1;african;african;african;african;mbube
33;african;1;african;african;african;african;amapiano 
34;african;1;african;african;african;african;morna
35;african;1;african;african;african;african;ndombolo
36;african;1;african;african;african;african;palm-wine
37;african;1;african;african;african;african;raï
38;african;1;african;african;african;african;sakara
39;african;1;african;african;african;african;sega
40;african;1;african;african;african;african;seggae
41;african;1;african;african;african;african;semba
42;african;1;african;african;african;african;shangaan electro
43;african;1;soukous;soukous;soukous;soukous;soukous
44;african;2;soukous;soukous;soukous;soukous;kwassa kwassa
45;african;1;african;african;african;african;taarab
46;african;1;african;african;african;african;zouglou
