;0;tier;1;2;3;4;genre
0;asian;1;asian;asian;asian;asian;fann at-tanbura
1;asian;1;asian;asian;asian;asian;fijiri
2;asian;1;asian;asian;asian;asian;khaliji
3;asian;1;asian;asian;asian;asian;liwa
4;asian;1;asian;asian;asian;asian;sawt
5;asian;1;east asian;east asian;east asian;east asian;east asian
6;asian;2;east asian;east asian;east asian;east asian;anison
7;asian;2;east asian;east asian;east asian;east asian;cantopop
8;asian;2;east asian;east asian;east asian;east asian;c-pop
9;asian;2;east asian;east asian;east asian;east asian;enka
10;asian;2;east asian;east asian;east asian;east asian;hong kong english pop
11;asian;2;east asian;east asian;east asian;east asian;j-pop
12;asian;2;east asian;east asian;east asian;east asian;j-rock
13;asian;2;east asian;east asian;east asian;east asian;kayōkyoku
14;asian;2;east asian;east asian;east asian;east asian;k-pop
15;asian;2;east asian;east asian;east asian;east asian;mandopop
16;asian;2;east asian;east asian;east asian;east asian;onkyokei
17;asian;2;east asian;east asian;east asian;east asian;p-pop
18;asian;2;east asian;east asian;east asian;east asian;taiwanese pop
19;asian;1;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian
20;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;baila
21;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;baul
22;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;bhangra
23;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;dangdut
24;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;filmi
25;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;indian pop
26;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;lavani
27;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;luk thung
28;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;luk krung
29;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;manila sound
30;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;original pilipino music
31;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;v-pop
32;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;morlam
33;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;pinoy pop
34;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;pop sunda
35;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;thai pop
36;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;ragini
37;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;keroncong
38;asian;2;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;gamelan
