;0;tier;1;2;3;4;genre
0;blues;1;blues;blues;blues;blues;african blues
1;blues;1;blues;blues;blues;blues;blues rock
2;blues;1;blues;blues;blues;blues;blues shouter
3;blues;1;blues;blues;blues;blues;british blues
4;blues;1;blues;blues;blues;blues;canadian blues
5;blues;1;blues;blues;blues;blues;chicago blues
6;blues;1;blues;blues;blues;blues;classic female blues
7;blues;1;blues;blues;blues;blues;contemporary r&b
8;blues;1;blues;blues;blues;blues;country blues
9;blues;1;blues;blues;blues;blues;delta blues
10;blues;1;blues;blues;blues;blues;detroit blues
11;blues;1;blues;blues;blues;blues;electric blues
12;blues;1;blues;blues;blues;blues;gospel blues
13;blues;1;blues;blues;blues;blues;hill country blues
14;blues;1;blues;blues;blues;blues;hokum blues
15;blues;1;blues;blues;blues;blues;jump blues
16;blues;1;blues;blues;blues;blues;kansas city blues
17;blues;1;blues;blues;blues;blues;louisiana blues
18;blues;1;blues;blues;blues;blues;memphis blues
19;blues;1;blues;blues;blues;blues;piedmont blues
20;blues;1;blues;blues;blues;blues;punk blues
21;blues;1;blues;blues;blues;blues;rhythm and blues
22;blues;1;blues;blues;blues;blues;soul blues
23;blues;1;blues;blues;blues;blues;st. louis blues
24;blues;1;blues;blues;blues;blues;swamp blues
25;blues;1;blues;blues;blues;blues;texas blues
26;blues;1;blues;blues;blues;blues;west coast blues
