;0;tier;1;2;3;4;genre
0;country;1;alternative country;alternative country;alternative country;alternative country;alternative country
1;country;2;alternative country;alternative country;alternative country;alternative country;cowpunk
2;country;1;country;country;country;country;country blues
3;country;1;country;country;country;country;blues country
4;country;1;country;country;country;country;hokum
5;country;1;country;country;country;country;outlaw country
6;country;1;country;country;country;country;progressive country
7;country;1;country;country;country;country;zydeco
8;country;1;country;country;country;country;country rap
9;country;1;country;country;country;country;red dirt
10;country;1;rockabilly;rockabilly;rockabilly;rockabilly;rockabilly
11;country;2;rockabilly;rockabilly;rockabilly;rockabilly;hellbilly music
12;country;2;rockabilly;rockabilly;rockabilly;rockabilly;psychobilly
13;country;2;rockabilly;rockabilly;rockabilly;rockabilly;punkabilly
14;country;1;country;country;country;country;country rock
15;country;1;country;country;country;country;texas country
16;country;1;country;country;country;country;americana
17;country;1;country;country;country;country;australian country music
18;country;1;country;country;country;country;bakersfield sound
19;country;1;bluegrass;bluegrass;bluegrass;bluegrass;bluegrass
20;country;2;bluegrass;bluegrass;bluegrass;bluegrass;progressive bluegrass
21;country;2;bluegrass;bluegrass;bluegrass;bluegrass;reactionary bluegrass
22;country;1;cajun;cajun;cajun;cajun;cajun
23;country;2;cajun;cajun;cajun;cajun;cajun fiddle
24;country;2;cajun;cajun;cajun;cajun;cajun fiddle tunes
25;country;1;country;country;country;country;christian country music
26;country;1;country;country;country;country;classic country
27;country;1;country;country;country;country;close harmony
28;country;1;country;country;country;country;dansband music
29;country;1;country;country;country;country;franco-countr
30;country;1;country;country;country;country;honky tonk
31;country;1;country;country;country;country;instrumental country
32;country;1;country;country;country;country;nashville sound
33;country;1;country;country;country;country;neotraditional country
34;country;1;country;country;country;country;country pop
35;country;1;country;country;country;country;sertanejo
36;country;1;country;country;country;country;traditional country music
37;country;1;country;country;country;country;truck-driving country
38;country;1;country;country;country;country;western swing
