;0;tier;1;2;3;4;genre
4;folk;1;folk;folk;folk;folk;american folk revival
5;folk;1;folk;folk;folk;folk;anti-folk
6;folk;1;folk;folk;folk;folk;british folk revival
7;folk;1;folk;folk;folk;folk;celtic music
8;folk;1;folk;folk;folk;folk;chalga
9;folk;1;folk;folk;folk;folk;contemporary folk
10;folk;1;folk;folk;folk;folk;filk music
11;folk;1;folk;folk;folk;folk;folktronica
12;folk;1;folk;folk;folk;folk;freak folk
13;folk;1;folk;folk;folk;folk;indie folk
14;folk;1;folk;folk;folk;folk;industrial folk
15;folk;1;folk;folk;folk;folk;neofolk
16;folk;1;folk;folk;folk;folk;progressive folk
17;folk;1;folk;folk;folk;folk;protest song
18;folk;1;folk;folk;folk;folk;psychedelic folk
19;folk;1;folk;folk;folk;folk;singer-songwriter
20;folk;1;folk;folk;folk;folk;skiffle
21;folk;1;folk;folk;folk;folk;sung poetry
22;folk;1;folk;folk;folk;folk;cowboy/western music
