;0;tier;1;2;3;4;genre
3;hip hop;1;hip hop;hip hop;hip hop;hip hop;alternative hip hop
4;hip hop;1;hip hop;hip hop;hip hop;hip hop;australian hip hop
5;hip hop;1;hip hop;hip hop;hip hop;hip hop;bongo flava
6;hip hop;1;hip hop;hip hop;hip hop;hip hop;british hip hop
7;hip hop;1;hip hop;hip hop;hip hop;hip hop;chap hop
8;hip hop;1;hip hop;hip hop;hip hop;hip hop;christian hip hop
9;hip hop;1;hip hop;hip hop;hip hop;hip hop;conscious hip hop
10;hip hop;1;hip hop;hip hop;hip hop;hip hop;crunk
11;hip hop;1;hip hop;hip hop;hip hop;hip hop;crunkcore
12;hip hop;1;hip hop;hip hop;hip hop;hip hop;drill
13;hip hop;1;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop
14;hip hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;baltimore club
15;hip hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;brick city club
16;hip hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;hardcore hip hop
17;hip hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;mafioso rap
18;hip hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;new jersey hip hop
19;hip hop;1;hip hop;hip hop;hip hop;hip hop;electro music
20;hip hop;1;hip hop;hip hop;hip hop;hip hop;experimental hip hop
21;hip hop;1;hip hop;hip hop;hip hop;hip hop;ghetto house
22;hip hop;1;hip hop;hip hop;hip hop;hip hop;ghettotech
23;hip hop;1;hip hop;hip hop;hip hop;hip hop;golden age hip hop
24;hip hop;1;hip hop;hip hop;hip hop;hip hop;grime
25;hip hop;1;hip hop;hip hop;hip hop;hip hop;hardcore hip hop
26;hip hop;1;hip hop;hip hop;hip hop;hip hop;hip house
27;hip hop;1;hip hop;hip hop;hip hop;hip hop;hiplife
28;hip hop;1;hip hop;hip hop;hip hop;hip hop;hip pop
29;hip hop;1;hip hop;hip hop;hip hop;hip hop;industrial hip hop
30;hip hop;1;hip hop;hip hop;hip hop;hip hop;instrumental hip hop
31;hip hop;1;hip hop;hip hop;hip hop;hip hop;kwaito
32;hip hop;1;hip hop;hip hop;hip hop;hip hop;lyrical hip hop
33;hip hop;1;hip hop;hip hop;hip hop;hip hop;low bap
34;hip hop;1;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop
35;hip hop;2;midwest hip hop;chicago hip hop;chicago hip hop;chicago hip hop;chicago hip hop
36;hip hop;3;midwest hip hop;chicago hip hop;chicago hip hop;chicago hip hop;ghetto house
37;hip hop;2;midwest hip hop;detroit hip hop;detroit hip hop;detroit hip hop;detroit hip hop
38;hip hop;3;midwest hip hop;detroit hip hop;detroit hip hop;detroit hip hop;ghettotech
39;hip hop;2;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;st. louis hip hop
40;hip hop;2;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;twin cities hip hop
41;hip hop;2;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;horrorcore
42;hip hop;1;hip hop;hip hop;hip hop;hip hop;merenrap
43;hip hop;1;hip hop;hip hop;hip hop;hip hop;motswako
44;hip hop;1;hip hop;hip hop;hip hop;hip hop;nerdcore
45;hip hop;1;hip hop;hip hop;hip hop;hip hop;new jack swing
46;hip hop;1;hip hop;hip hop;hip hop;hip hop;new school hip hop
47;hip hop;1;hip hop;hip hop;hip hop;hip hop;old school hip hop
48;hip hop;1;hip hop;hip hop;hip hop;hip hop;political hip hop
49;hip hop;1;hip hop;hip hop;hip hop;hip hop;ragga
50;hip hop;1;reggaeton;reggaeton;reggaeton;reggaeton;reggaeton
51;hip hop;2;reggaeton;reggaeton;reggaeton;reggaeton;g-funk
52;hip hop;2;reggaeton;reggaeton;reggaeton;reggaeton;hyphy
53;hip hop;2;reggaeton;reggaeton;reggaeton;reggaeton;jerkin'
