;0;tier;1;2;3;4;genre
3;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;alternative hip hop
4;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;australian hip hop
5;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;bongo flava
6;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;british hip hop
7;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;chap hop
8;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;christian hip hop
9;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;conscious hip hop
10;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;crunk
11;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;crunkcore
12;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;drill
13;hip_hop;1;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop
14;hip_hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;baltimore club
15;hip_hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;brick city club
16;hip_hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;hardcore hip hop
17;hip_hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;mafioso rap
18;hip_hop;2;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;new jersey hip hop
19;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;electro music
20;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;experimental hip hop
21;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;ghetto house
22;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;ghettotech
23;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;golden age hip hop
24;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;grime
25;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;hardcore hip hop
26;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;hip house
27;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;hiplife
28;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;hip pop
29;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;industrial hip hop
30;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;instrumental hip hop
31;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;kwaito
32;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;lyrical hip hop
33;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;low bap
34;hip_hop;1;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop
35;hip_hop;2;midwest hip hop;chicago hip hop;chicago hip hop;chicago hip hop;chicago hip hop
36;hip_hop;3;midwest hip hop;chicago hip hop;chicago hip hop;chicago hip hop;ghetto house
37;hip_hop;2;midwest hip hop;detroit hip hop;detroit hip hop;detroit hip hop;detroit hip hop
38;hip_hop;3;midwest hip hop;detroit hip hop;detroit hip hop;detroit hip hop;ghettotech
39;hip_hop;2;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;st. louis hip hop
40;hip_hop;2;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;twin cities hip hop
41;hip_hop;2;midwest hip hop;midwest hip hop;midwest hip hop;midwest hip hop;horrorcore
42;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;merenrap
43;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;motswako
44;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;nerdcore
45;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;new jack swing
46;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;new school hip hop
47;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;old school hip hop
48;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;political hip hop
49;hip_hop;1;hip_hop;hip_hop;hip_hop;hip_hop;ragga
50;hip_hop;1;reggaeton;reggaeton;reggaeton;reggaeton;reggaeton
51;hip_hop;2;reggaeton;reggaeton;reggaeton;reggaeton;g-funk
52;hip_hop;2;reggaeton;reggaeton;reggaeton;reggaeton;hyphy
53;hip_hop;2;reggaeton;reggaeton;reggaeton;reggaeton;jerkin'
