;0;tier;1;2;3;4;genre
3;jazz;1;jazz;jazz;jazz;jazz;acid jazz
4;jazz;1;jazz;jazz;jazz;jazz;afro-cuban jazz
5;jazz;1;jazz;jazz;jazz;jazz;asian american jazz
6;jazz;1;jazz;jazz;jazz;jazz;avant-garde jazz
7;jazz;1;jazz;jazz;jazz;jazz;bebop
8;jazz;1;jazz;jazz;jazz;jazz;boogie-woogie
9;jazz;1;jazz;jazz;jazz;jazz;bossa nova
10;jazz;1;jazz;jazz;jazz;jazz;british dance band
11;jazz;1;jazz;jazz;jazz;jazz;cape jazz
12;jazz;1;jazz;jazz;jazz;jazz;chamber jazz
13;jazz;1;jazz;jazz;jazz;jazz;continental jazz
14;jazz;1;jazz;jazz;jazz;jazz;cool jazz
15;jazz;1;jazz;jazz;jazz;jazz;crossover jazz
16;jazz;1;jazz;jazz;jazz;jazz;dixieland
17;jazz;1;jazz;jazz;jazz;jazz;ethno jazz
18;jazz;1;jazz;jazz;jazz;jazz;european free jazz
19;jazz;1;jazz;jazz;jazz;jazz;free funk
20;jazz;1;jazz;jazz;jazz;jazz;free improvisation
21;jazz;1;jazz;jazz;jazz;jazz;free jazz
22;jazz;1;jazz;jazz;jazz;jazz;gypsy jazz
23;jazz;1;jazz;jazz;jazz;jazz;hard bop
24;jazz;1;jazz;jazz;jazz;jazz;jazz blues
25;jazz;1;jazz;jazz;jazz;jazz;jazz-funk
26;jazz;1;jazz;jazz;jazz;jazz;jazz fusion
27;jazz;1;jazz;jazz;jazz;jazz;jazz rap
28;jazz;1;jazz;jazz;jazz;jazz;jazz rock
29;jazz;1;jazz;jazz;jazz;jazz;kansas city blues
30;jazz;1;jazz;jazz;jazz;jazz;kansas city jazz
31;jazz;1;jazz;jazz;jazz;jazz;latin jazz
32;jazz;1;jazz;jazz;jazz;jazz;livetronica
33;jazz;1;jazz;jazz;jazz;jazz;m-base
34;jazz;1;jazz;jazz;jazz;jazz;mainstream jazz
35;jazz;1;jazz;jazz;jazz;jazz;modal jazz
36;jazz;1;jazz;jazz;jazz;jazz;neo-bop jazz
37;jazz;1;jazz;jazz;jazz;jazz;neo-swing
38;jazz;1;jazz;jazz;jazz;jazz;novelty ragtime
39;jazz;1;jazz;jazz;jazz;jazz;nu jazz
40;jazz;1;jazz;jazz;jazz;jazz;orchestral jazz
41;jazz;1;jazz;jazz;jazz;jazz;post-bop
42;jazz;1;jazz;jazz;jazz;jazz;punk jazz
43;jazz;1;jazz;jazz;jazz;jazz;ragtime
44;jazz;1;jazz;jazz;jazz;jazz;shibuya-kei
45;jazz;1;jazz;jazz;jazz;jazz;ska jazz
46;jazz;1;jazz;jazz;jazz;jazz;smooth jazz
47;jazz;1;jazz;jazz;jazz;jazz;soul jazz
48;jazz;1;jazz;jazz;jazz;jazz;stride jazz
49;jazz;1;jazz;jazz;jazz;jazz;straight-ahead jazz
50;jazz;1;jazz;jazz;jazz;jazz;swing
51;jazz;1;jazz;jazz;jazz;jazz;third stream
52;jazz;1;jazz;jazz;jazz;jazz;trad jazz
53;jazz;1;jazz;jazz;jazz;jazz;vocal jazz
54;jazz;1;jazz;jazz;jazz;jazz;west coast jazz
