;0;tier;1;2;3;4;genre
3;latin;1;brazilian;brazilian;brazilian;brazilian;brazilian
4;latin;2;brazilian;brazilian;brazilian;brazilian;axé
5;latin;2;brazilian;brazilian;brazilian;brazilian;brazilian rock
6;latin;2;brazilian;brazilian;brazilian;brazilian;brega
7;latin;2;brazilian;brazilian;brazilian;brazilian;tecnobrega
8;latin;2;brazilian;brazilian;brazilian;brazilian;choro
9;latin;2;brazilian;brazilian;brazilian;brazilian;forró
10;latin;2;brazilian;brazilian;brazilian;brazilian;frevo
11;latin;2;brazilian;brazilian;brazilian;brazilian;funk carioca
12;latin;2;brazilian;brazilian;brazilian;brazilian;lambada
13;latin;2;brazilian;brazilian;brazilian;brazilian;zouk-lambada
14;latin;2;brazilian;brazilian;brazilian;brazilian;maracatu
15;latin;2;brazilian;brazilian;brazilian;brazilian;música popular brasileira
16;latin;2;brazilian;brazilian;brazilian;brazilian;tropicalia
17;latin;2;brazilian;brazilian;brazilian;brazilian;música sertaneja
18;latin;2;brazilian;brazilian;brazilian;brazilian;samba
19;latin;2;brazilian;brazilian;brazilian;brazilian;pagode
20;latin;2;brazilian;brazilian;brazilian;brazilian;samba rock
21;latin;1;latin;latin;latin;latin;latin christian
22;latin;1;latin jazz;latin jazz;latin jazz;latin jazz;latin jazz
23;latin;2;latin jazz;latin jazz;latin jazz;latin jazz;afro-cuban jazz
24;latin;2;latin jazz;latin jazz;latin jazz;latin jazz;bossa nova
25;latin;1;latin pop;latin pop;latin pop;latin pop;latin pop
26;latin;2;latin pop;latin pop;latin pop;latin pop;latin ballad
27;latin;1;latin;latin;latin;latin;latin swing
28;latin;1;latin rock;latin rock;latin rock;latin rock;latin rock
29;latin;2;latin rock;latin rock;latin rock;latin rock;latin alternative
30;latin;2;latin rock;latin rock;latin rock;latin rock;rock en español
31;latin;1;latin;latin;latin;latin;reggaeton
32;latin;1;regional mexican;regional mexican;regional mexican;regional mexican;regional mexican
33;latin;2;regional mexican;regional mexican;regional mexican;regional mexican;banda
34;latin;2;regional mexican;regional mexican;regional mexican;regional mexican;grupera
35;latin;2;regional mexican;mariachi;mariachi;mariachi;mariachi
36;latin;3;regional mexican;mariachi;mariachi;mariachi;ranchera
37;latin;2;regional mexican;regional mexican;regional mexican;regional mexican;norteño
38;latin;2;regional mexican;regional mexican;regional mexican;regional mexican;tejano
39;latin;1;latin;latin;latin;latin;flamenco
40;latin;1;latin;latin;latin;latin;tango
41;latin;1;fol;fol;fol;fol;fol
42;latin;2;fol;fol;fol;fol;bullerengue
43;latin;2;fol;fol;fol;fol;fado
44;latin;2;fol;fol;fol;fol;huayno
45;latin;2;fol;fol;fol;fol;mexican son
46;latin;2;fol;fol;fol;fol;música criolla
47;latin;2;fol;fol;fol;fol;nueva canción
48;latin;1;tropical;tropical;tropical;tropical;tropical
49;latin;2;tropical;tropical;tropical;tropical;bachata
50;latin;2;tropical;tropical;tropical;tropical;bolero
51;latin;2;tropical;tropical;tropical;tropical;criolla
52;latin;2;tropical;tropical;tropical;tropical;cumbia
53;latin;2;tropical;tropical;tropical;tropical;chicha
54;latin;2;tropical;tropical;tropical;tropical;porro
55;latin;2;tropical;tropical;tropical;tropical;guajira
56;latin;2;tropical;tropical;tropical;tropical;mambo
57;latin;2;tropical;tropical;tropical;tropical;merengue
58;latin;2;tropical;tropical;tropical;tropical;rumba
59;latin;2;tropical;tropical;tropical;tropical;[cuban rumba
60;latin;2;tropical;tropical;tropical;tropical;salsa
61;latin;2;tropical;tropical;tropical;tropical;son
62;latin;2;tropical;tropical;tropical;tropical;timba
63;latin;2;tropical;tropical;tropical;tropical;tropipop
64;latin;2;tropical;tropical;tropical;tropical;vallenato
