;0;tier;1;2;3;4;genre
3;pop;1;pop;pop;pop;pop;adult contemporary
4;pop;1;pop;pop;pop;pop;arab pop
5;pop;1;pop;pop;pop;pop;baroque pop
6;pop;1;pop;pop;pop;pop;brill building
7;pop;1;pop;pop;pop;pop;britpop
8;pop;1;pop;pop;pop;pop;bubblegum pop
9;pop;1;pop;pop;pop;pop;canción
10;pop;1;pop;pop;pop;pop;canzone
11;pop;1;pop;pop;pop;pop;chalga
12;pop;1;pop;pop;pop;pop;chanson
13;pop;1;pop;pop;pop;pop;christian pop
14;pop;1;pop;pop;pop;pop;classical crossover
15;pop;1;pop;pop;pop;pop;country pop
16;pop;1;pop;pop;pop;pop;c-pop
17;pop;1;pop;pop;pop;pop;mandopop
18;pop;1;pop;pop;pop;pop;dance-pop
19;pop;1;pop;pop;pop;pop;disco polo
20;pop;1;pop;pop;pop;pop;electropop
21;pop;1;pop;pop;pop;pop;europop
22;pop;1;pop;pop;pop;pop;austropop
23;pop;1;pop;pop;pop;pop;eurobeat
24;pop;1;pop;pop;pop;pop;french pop
25;pop;1;pop;pop;pop;pop;italo dance
26;pop;1;pop;pop;pop;pop;italo disco
27;pop;1;pop;pop;pop;pop;laïkó
28;pop;1;pop;pop;pop;pop;latin pop
29;pop;1;pop;pop;pop;pop;nederpop
30;pop;1;pop;pop;pop;pop;russian pop
31;pop;1;pop;pop;pop;pop;folk pop
32;pop;1;pop;pop;pop;pop;iranian pop
33;pop;1;pop;pop;pop;pop;indie pop
34;pop;1;pop;pop;pop;pop;j-pop
35;pop;1;pop;pop;pop;pop;jangle pop
36;pop;1;pop;pop;pop;pop;k-pop
37;pop;1;pop;pop;pop;pop;latin ballad
38;pop;1;pop;pop;pop;pop;louisiana swamp pop
39;pop;1;pop;pop;pop;pop;mexican pop
40;pop;1;pop;pop;pop;pop;new romanticism
41;pop;1;pop;pop;pop;pop;operatic pop
42;pop;1;pop;pop;pop;pop;pop rap
43;pop;1;pop;pop;pop;pop;pop rock
44;pop;1;pop;pop;pop;pop;power pop
45;pop;1;pop;pop;pop;pop;soft rock
46;pop;1;pop;pop;pop;pop;pop soul
47;pop;1;pop;pop;pop;pop;progressive pop
48;pop;1;pop;pop;pop;pop;psychedelic pop
49;pop;1;pop;pop;pop;pop;rebetiko
50;pop;1;pop;pop;pop;pop;schlager
51;pop;1;pop;pop;pop;pop;sophisti-pop
52;pop;1;pop;pop;pop;pop;space age pop
53;pop;1;pop;pop;pop;pop;sunshine pop
54;pop;1;pop;pop;pop;pop;surf pop
55;pop;1;pop;pop;pop;pop;synthpop
56;pop;1;pop;pop;pop;pop;teen pop
57;pop;1;pop;pop;pop;pop;traditional pop music
58;pop;1;pop;pop;pop;pop;turkish pop
59;pop;1;pop;pop;pop;pop;vispop
60;pop;1;pop;pop;pop;pop;wonky pop
61;pop;1;pop;pop;pop;pop;worldbeat
