;0;1;2;3;4;genre
0;african;african;african;african;african;african heavy metal
1;african;african;african;african;african;african hip hop
2;african;african;african;african;african;afrobeat
3;african;african;african;african;african;apala
4;african;african;african;african;african;benga
5;african;african;african;african;african;bongo flava
6;african;african;african;african;african;bikutsi
7;african;african;african;african;african;cape jazz
8;african;african;african;african;african;chimurenga
9;african;african;african;african;african;congolese rumba
10;african;african;african;african;african;coupé-décalé
11;african;african;african;african;african;fuji music
12;african;african;african;african;african;genge
13;african;african;african;african;african;highlife
14;african;african;african;african;african;hiplife
15;african;african;african;african;african;igbo highlife
16;african;african;african;african;african;igbo rap
17;african;african;african;african;african;isicathamiya
18;african;african;african;african;african;jit
19;african;african;african;african;african;jùjú
20;african;african;african;african;african;kapuka
21;african;african;african;african;african;boomba
22;african;african;african;african;african;kadongo kamu
23;african;african;african;african;african;kizomba
24;african;african;african;african;african;kuduro
25;african;african;african;african;african;kwaito
26;african;african;african;african;african;kwela
27;african;african;african;african;african;makossa
28;african;african;african;african;african;maloya
29;african;african;african;african;african;marrabenta
30;african;african;african;african;african;mbalax
31;african;african;african;african;african;mbaqanga
32;african;african;african;african;african;mbube
33;african;african;african;african;african;amapiano 
34;african;african;african;african;african;morna
35;african;african;african;african;african;ndombolo
36;african;african;african;african;african;palm-wine
37;african;african;african;african;african;raï
38;african;african;african;african;african;sakara
39;african;african;african;african;african;sega
40;african;african;african;african;african;seggae
41;african;african;african;african;african;semba
42;african;african;african;african;african;shangaan electro
43;african;soukous;soukous;soukous;soukous;soukous
44;african;soukous;soukous;soukous;soukous;kwassa kwassa
45;african;african;african;african;african;taarab
46;african;african;african;african;african;zouglou
47;african;african;african;african;african;african
48;asian;asian;asian;asian;asian;fann at-tanbura
49;asian;asian;asian;asian;asian;fijiri
50;asian;asian;asian;asian;asian;khaliji
51;asian;asian;asian;asian;asian;liwa
52;asian;asian;asian;asian;asian;sawt
53;asian;east asian;east asian;east asian;east asian;east asian
54;asian;east asian;east asian;east asian;east asian;anison
55;asian;east asian;east asian;east asian;east asian;cantopop
56;asian;east asian;east asian;east asian;east asian;c-pop
57;asian;east asian;east asian;east asian;east asian;enka
58;asian;east asian;east asian;east asian;east asian;hong kong english pop
59;asian;east asian;east asian;east asian;east asian;j-pop
60;asian;east asian;east asian;east asian;east asian;j-rock
61;asian;east asian;east asian;east asian;east asian;kayōkyoku
62;asian;east asian;east asian;east asian;east asian;k-pop
63;asian;east asian;east asian;east asian;east asian;mandopop
64;asian;east asian;east asian;east asian;east asian;onkyokei
65;asian;east asian;east asian;east asian;east asian;p-pop
66;asian;east asian;east asian;east asian;east asian;taiwanese pop
67;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian
68;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;baila
69;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;baul
70;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;bhangra
71;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;dangdut
72;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;filmi
73;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;indian pop
74;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;lavani
75;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;luk thung
76;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;luk krung
77;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;manila sound
78;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;original pilipino music
79;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;v-pop
80;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;morlam
81;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;pinoy pop
82;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;pop sunda
83;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;thai pop
84;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;ragini
85;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;keroncong
86;asian;south and southeast asian;south and southeast asian;south and southeast asian;south and southeast asian;gamelan
87;asian;asian;asian;asian;asian;asian
88;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde;experimental music
89;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde;noise
90;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde;lo-fi
91;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde;musique concrete
92;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde;electroacoustic
93;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde;avant_garde
94;blues;blues;blues;blues;blues;african blues
95;blues;blues;blues;blues;blues;blues rock
96;blues;blues;blues;blues;blues;blues shouter
97;blues;blues;blues;blues;blues;british blues
98;blues;blues;blues;blues;blues;canadian blues
99;blues;blues;blues;blues;blues;chicago blues
100;blues;blues;blues;blues;blues;classic female blues
101;blues;blues;blues;blues;blues;contemporary r&b
102;blues;blues;blues;blues;blues;country blues
103;blues;blues;blues;blues;blues;delta blues
104;blues;blues;blues;blues;blues;detroit blues
105;blues;blues;blues;blues;blues;electric blues
106;blues;blues;blues;blues;blues;gospel blues
107;blues;blues;blues;blues;blues;hill country blues
108;blues;blues;blues;blues;blues;hokum blues
109;blues;blues;blues;blues;blues;jump blues
110;blues;blues;blues;blues;blues;kansas city blues
111;blues;blues;blues;blues;blues;louisiana blues
112;blues;blues;blues;blues;blues;memphis blues
113;blues;blues;blues;blues;blues;piedmont blues
114;blues;blues;blues;blues;blues;punk blues
115;blues;blues;blues;blues;blues;rhythm and blues
116;blues;blues;blues;blues;blues;soul blues
